,Make
0,Acura
1,Alfa Romeo
2,Aston Martin
3,Audi
4,Bentley
5,BMW
6,Buick
7,Cadillac
8,Chevrolet
9,Chrysler
10,Datsun
11,Dodge
12,Fiat
13,Fisker Automotive
14,Ford
15,Genesis
16,GMC
17,Honda
18,Hummer
19,Hyundai
20,Infiniti
21,Isuzu
22,Jaguar
23,Jeep
24,Kia
25,Land Rover
26,Lexus
27,Lincoln
28,Lotus
29,Maserati
30,Mazda
31,McLaren
32,Mercedes-Benz
33,Mercury
34,Mini
35,Mitsubishi
36,Nissan
37,Oldsmobile
38,Plymouth
39,Pontiac
40,Porsche
41,Ram
42,Rolls Royce
43,Saab
44,Saturn
45,Smart
46,Sprinter (Dodge Or Freightliner)
47,Subaru
48,Suzuki
49,Toyota
50,Volkswagen
51,Volvo
